timestamp,cpu_sistema,mem_total_mb,django_cpu,django_mem_mb,celery_cpu,celery_mem_mb
16:25:10,23,5056,2.56,202.5,0.25,544.9
16:25:21,26,5135,2.44,202.5,1.19,544.9
