timestamp,cpu_sistema,memoria_total_mb,memoria_percent,django_cpu,django_mem_mb,celery_cpu,celery_mem_mb
16:37:18,28,5064,63.8,2.90,202.5,0.22,545.6
16:37:27,25,5065,63.8,2.32,202.5,0.27,545.6
16:37:40,24,5072,63.9,2.84,202.5,1.19,545.6
16:37:53,25,5083,64.0,2.39,202.5,0.23,545.6
