timestamp,cpu_sistema,memoria_total_mb,memoria_percent,django_cpu,django_mem_mb,celery_cpu,celery_mem_mb
16:30:50,48,5145,64.8,3.18,202.5,0.18,545
16:30:58,25,5088,64.1,3.25,202.5,0.26,545
